year,climate_model,scenario,region,variable,value
1850,CESM2-WACCM,ssp126,america,co2mass,2223374500000000.0
1851,CESM2-WACCM,ssp126,america,co2mass,2224432300000000.0
1852,CESM2-WACCM,ssp126,america,co2mass,2225579700000000.0
1853,CESM2-WACCM,ssp126,america,co2mass,2226614000000000.0
1854,CESM2-WACCM,ssp126,america,co2mass,2227506300000000.0
1855,CESM2-WACCM,ssp126,america,co2mass,2228245800000000.0
1856,CESM2-WACCM,ssp126,america,co2mass,2229104500000000.0
1857,CESM2-WACCM,ssp126,america,co2mass,2230327000000000.0
1858,CESM2-WACCM,ssp126,america,co2mass,2231617900000000.0
1859,CESM2-WACCM,ssp126,america,co2mass,2233000200000000.0
1860,CESM2-WACCM,ssp126,america,co2mass,2234521800000000.0
1861,CESM2-WACCM,ssp126,america,co2mass,2236031800000000.0
1862,CESM2-WACCM,ssp126,america,co2mass,2237333200000000.0
1863,CESM2-WACCM,ssp126,america,co2mass,2238672100000000.0
1864,CESM2-WACCM,ssp126,america,co2mass,2240010500000000.0
1865,CESM2-WACCM,ssp126,america,co2mass,2241353800000000.0
1866,CESM2-WACCM,ssp126,america,co2mass,2242659700000000.0
1867,CESM2-WACCM,ssp126,america,co2mass,2244020600000000.0
1868,CESM2-WACCM,ssp126,america,co2mass,2245179800000000.0
1869,CESM2-WACCM,ssp126,america,co2mass,2246115800000000.0
1870,CESM2-WACCM,ssp126,america,co2mass,2247137200000000.0
1871,CESM2-WACCM,ssp126,america,co2mass,2248231200000000.0
1872,CESM2-WACCM,ssp126,america,co2mass,2249572700000000.0
1873,CESM2-WACCM,ssp126,america,co2mass,2251106700000000.0
1874,CESM2-WACCM,ssp126,america,co2mass,2252684300000000.0
1875,CESM2-WACCM,ssp126,america,co2mass,2254490600000000.0
1876,CESM2-WACCM,ssp126,america,co2mass,2256280800000000.0
1877,CESM2-WACCM,ssp126,america,co2mass,2258099200000000.0
1878,CESM2-WACCM,ssp126,america,co2mass,2259981000000000.0
1879,CESM2-WACCM,ssp126,america,co2mass,2261762000000000.0
1880,CESM2-WACCM,ssp126,america,co2mass,2263719000000000.0
1881,CESM2-WACCM,ssp126,america,co2mass,2265812400000000.0
1882,CESM2-WACCM,ssp126,america,co2mass,2268013900000000.0
1883,CESM2-WACCM,ssp126,america,co2mass,2269908700000000.0
1884,CESM2-WACCM,ssp126,america,co2mass,2271870000000000.0
1885,CESM2-WACCM,ssp126,america,co2mass,2274107000000000.0
1886,CESM2-WACCM,ssp126,america,co2mass,2276479000000000.0
1887,CESM2-WACCM,ssp126,america,co2mass,2278943500000000.0
1888,CESM2-WACCM,ssp126,america,co2mass,2281683700000000.0
1889,CESM2-WACCM,ssp126,america,co2mass,2284412800000000.0
1890,CESM2-WACCM,ssp126,america,co2mass,2287115500000000.0
1891,CESM2-WACCM,ssp126,america,co2mass,2289914200000000.0
1892,CESM2-WACCM,ssp126,america,co2mass,2292648000000000.0
1893,CESM2-WACCM,ssp126,america,co2mass,2295065200000000.0
1894,CESM2-WACCM,ssp126,america,co2mass,2297524000000000.0
1895,CESM2-WACCM,ssp126,america,co2mass,2299764400000000.0
1896,CESM2-WACCM,ssp126,america,co2mass,2302007700000000.0
1897,CESM2-WACCM,ssp126,america,co2mass,2304199200000000.0
1898,CESM2-WACCM,ssp126,america,co2mass,2306629000000000.0
1899,CESM2-WACCM,ssp126,america,co2mass,2309344000000000.0
1900,CESM2-WACCM,ssp126,america,co2mass,2312276200000000.0
1901,CESM2-WACCM,ssp126,america,co2mass,2314850200000000.0
1902,CESM2-WACCM,ssp126,america,co2mass,2317351500000000.0
1903,CESM2-WACCM,ssp126,america,co2mass,2319904300000000.0
1904,CESM2-WACCM,ssp126,america,co2mass,2322264700000000.0
1905,CESM2-WACCM,ssp126,america,co2mass,2324889400000000.0
1906,CESM2-WACCM,ssp126,america,co2mass,2327831700000000.0
1907,CESM2-WACCM,ssp126,america,co2mass,2331246200000000.0
1908,CESM2-WACCM,ssp126,america,co2mass,2334520600000000.0
1909,CESM2-WACCM,ssp126,america,co2mass,2337800000000000.0
1910,CESM2-WACCM,ssp126,america,co2mass,2341246300000000.0
1911,CESM2-WACCM,ssp126,america,co2mass,2344797400000000.0
1912,CESM2-WACCM,ssp126,america,co2mass,2348922700000000.0
1913,CESM2-WACCM,ssp126,america,co2mass,2353268100000000.0
1914,CESM2-WACCM,ssp126,america,co2mass,2357238300000000.0
1915,CESM2-WACCM,ssp126,america,co2mass,2361303000000000.0
1916,CESM2-WACCM,ssp126,america,co2mass,2365585300000000.0
1917,CESM2-WACCM,ssp126,america,co2mass,2369691000000000.0
1918,CESM2-WACCM,ssp126,america,co2mass,2373064200000000.0
1919,CESM2-WACCM,ssp126,america,co2mass,2375945800000000.0
1920,CESM2-WACCM,ssp126,america,co2mass,2379304800000000.0
1921,CESM2-WACCM,ssp126,america,co2mass,2382068300000000.0
1922,CESM2-WACCM,ssp126,america,co2mass,2384749000000000.0
1923,CESM2-WACCM,ssp126,america,co2mass,2387322000000000.0
1924,CESM2-WACCM,ssp126,america,co2mass,2390095300000000.0
1925,CESM2-WACCM,ssp126,america,co2mass,2391472200000000.0
1926,CESM2-WACCM,ssp126,america,co2mass,2392610000000000.0
1927,CESM2-WACCM,ssp126,america,co2mass,2394338500000000.0
1928,CESM2-WACCM,ssp126,america,co2mass,2395522600000000.0
1929,CESM2-WACCM,ssp126,america,co2mass,2396810500000000.0
1930,CESM2-WACCM,ssp126,america,co2mass,2397796500000000.0
1931,CESM2-WACCM,ssp126,america,co2mass,2399411000000000.0
1932,CESM2-WACCM,ssp126,america,co2mass,2401534000000000.0
1933,CESM2-WACCM,ssp126,america,co2mass,2403984700000000.0
1934,CESM2-WACCM,ssp126,america,co2mass,2406973500000000.0
1935,CESM2-WACCM,ssp126,america,co2mass,2410523800000000.0
